company,industry,size,city,state,problem_category,problem,technology,project,procurement_status,revenue,estimated_expense,evidence,source_url,valtiren_opportunity,lead_score,website_domain,electric_context,employees,customers,size_enriched,detected_problems,detected_technology,detected_opportunities,financial_signals,phone,email,lead_score_enriched,source_status
GIS for Electric Utilities & Utility Mapping,Utilities,,,California,GIS,utility network,GIS; Esri; ArcGIS; Utility Network,,,,,"ndustry is in motion. Electric utilities face changes in every area of their business as they work hard to adapt to and leverage digital technology. In the struggle to remain relevant and thrive, electric utilities are turning to ArcGIS for the latest in utility mapping and spatial analysis. ArcGIS Utility Network for digital utilities The ebook, Successful Digital Utilities Enabled by Modern Network Information Management, explores how utility organizations are leveraging modern network information management to meet the demands of a modern digital utility. Download the ebook Electric utilities business areas Explore all initiatives Asset management Operations management Safety and compliance Customer care Design and engineering Previous Next Show more Explore all initiatives Electric utility initiative",https://www.esri.com/en-us/industries/electric/overview,GIS modernization / migration,60,www.esri.com,electric utility; electric utilities,,,,Grid Modernization,GIS; Utility Network; Grid Asset Management; Digital Twin; DER,,,1-800-447-9778,,95,scraped
GIS for Electric Utilities & Utility Mapping,Utilities,,,California,Asset Management,asset management,GIS; Esri; ArcGIS; Utility Network,,,,,"ebook, Successful Digital Utilities Enabled by Modern Network Information Management, explores how utility organizations are leveraging modern network information management to meet the demands of a modern digital utility. Download the ebook Electric utilities business areas Explore all initiatives Asset management Operations management Safety and compliance Customer care Design and engineering Previous Next Show more Explore all initiatives Electric utility initiatives Grid modernization Emergency management Field operations Business intelligence Digital twin Network mapping Esri Infrastructure Management & GIS Conference Attend Esri’s IMGIS Conference October 27–29, 2026, in Palm Springs, California. Discover how ArcGIS brings AI, digital twins, advanced imagery, and connected workflows together to help",https://www.esri.com/en-us/industries/electric/overview,Asset inventory / management,60,www.esri.com,electric utility; electric utilities,,,,Grid Modernization,GIS; Utility Network; Grid Asset Management; Digital Twin; DER,,,1-800-447-9778,,95,scraped
GIS for Electric Utilities & Utility Mapping,Utilities,,,California,Grid,grid modernization,GIS; Esri; ArcGIS; Utility Network,,,,,"o meet the demands of a modern digital utility. Download the ebook Electric utilities business areas Explore all initiatives Asset management Operations management Safety and compliance Customer care Design and engineering Previous Next Show more Explore all initiatives Electric utility initiatives Grid modernization Emergency management Field operations Business intelligence Digital twin Network mapping Esri Infrastructure Management & GIS Conference Attend Esri’s IMGIS Conference October 27–29, 2026, in Palm Springs, California. Discover how ArcGIS brings AI, digital twins, advanced imagery, and connected workflows together to help organizations solve complex challenges, improve operations, and make smarter decisions across the infrastructure lifecycle. Get event details Go to all events Our community Fin",https://www.esri.com/en-us/industries/electric/overview,Grid technology / analytics,60,www.esri.com,electric utility; electric utilities,,,,Grid Modernization,GIS; Utility Network; Grid Asset Management; Digital Twin; DER,,,1-800-447-9778,,95,scraped
Get started with ArcGIS Utility Network for electric,Utilities,,,Illinois,GIS,utility network,GIS; Esri; ArcGIS; Utility Network; OMS; AMI; ERP,,,,,"Get started with ArcGIS Utility Network for electric | Documentation Skip To Content Get started with ArcGIS Utility Network for electric Jon DeRose is a product engineer on the geodatabase team and is passionate about using technology to bring order to chaotic systems. Author Duration Difficulty The Public Works Department of the City of Lisle, Illinois, has been using the geometric network to manage its municipal electric network. Your manager has tasked you with exploring the capabilities of a utility network in ArcGIS to model an",https://learn.arcgis.com/en/projects/get-started-with-arcgis-utility-network-for-electric/,GIS modernization / migration,35,learn.arcgis.com,electric utility; electric distribution,,,,,GIS; Utility Network; Distribution Assets; OT / Grid Operations; Outage Management; Data Management; DER,,,,,70,scraped
Get started with ArcGIS Utility Network for electric,Utilities,,,Illinois,Grid,oms,GIS; Esri; ArcGIS; Utility Network; OMS; AMI; ERP,,,,,"rforming subnetwork-based traces and updating subnetworks. Note: It is important to note that existing starting points or barriers placed in the map are ignored when the subnetwork trace is run from the Find Subnetworks pane. In the lower-right corner of the map, click Selected Features . The map zooms to the extent of the selected features of the Essential 001 subnetwork. The trace results in a selected set of features that participate in the Essential 001 subnetwork. The features are selected on the map and the number of selected features displays at the bottom of the map. Next, you'll perform some common analytical tasks in the network using the data provided, starting with an upstream trace to discover protective devices upstream from a given point in the network. Upstream traces travel t",https://learn.arcgis.com/en/projects/get-started-with-arcgis-utility-network-for-electric/,Grid technology / analytics,35,learn.arcgis.com,electric utility; electric distribution,,,,,GIS; Utility Network; Distribution Assets; OT / Grid Operations; Outage Management; Data Management; DER,,,,,70,scraped
Modeling Complete Utility Networks with GIS,Utilities,,,,GIS,utility network,GIS; ArcGIS; Utility Network,,,,,Modeling Complete Utility Networks with GIS | ArcGIS Utility Network Design & Management - YouTube About Press Copyright Contact us Creators Advertise Developers Terms Privacy Policy & Safety How YouTube works Test new features © 2026 Google LLC,https://www.youtube.com/watch?v=BuGO71wscYE,GIS modernization / migration,25,www.youtube.com,,,,,,GIS; Utility Network,,,,,31,scraped
GIS for Electric Utilities [The Ultimate Guide],Utilities,,,,GIS,geospatial data,GIS; Esri; ArcGIS; cloud,,,,,"n company. Also, we’ll show you how to use GIS Cloud, our own solution for field operations and workforce collaboration in electric utilities. Table of contents: • Using GIS in Electric Utilities • Asset Inventory and Infrastructure Insights • Optimizing Field Operations • Collaborating and Sharing Geospatial Data • The GIS Cloud Solution Workflow • 1. Creating Field Data Collection Projects • 2. Collecting Field Data • 3. Editing Data and Overseeing Fieldwork • 4. Sharing Data With Clients, Subcontractors and Managers • Case Study – ENUGU Electricity Distribution Company • Key Benefits of GIS for Electric Utilities Using GIS in Electric Utilities You could say that a geographic information system is essential for electric utility companies. It provides the foundational layer of technology for effective ",https://www.giscloud.com/blog/gis-for-electric-utilities/,GIS modernization / migration,70,www.giscloud.com,electric utility; electric utilities; power grid; substation; smart meter,,,,Data Quality; Manual Processes; Outage Problems; Vegetation Management,GIS; Grid Asset Management; Distribution Assets; OT / Grid Operations; AMI; Data Management; DER; Field Data Collection,,,,,100,scraped
GIS for Electric Utilities [The Ultimate Guide],Utilities,,,,Asset Management,asset management,GIS; Esri; ArcGIS; cloud,,,,," Managers • Case Study – ENUGU Electricity Distribution Company • Key Benefits of GIS for Electric Utilities Using GIS in Electric Utilities You could say that a geographic information system is essential for electric utility companies. It provides the foundational layer of technology for effective asset management as well as regulatory compliance. Companies use GIS for multiple purposes, from managing field operations to performing spatial analysis. Let’s dive in and learn how to utilize GIS and especially online GIS apps in electric utilities. Asset Inventory and Infrastructure Insights It’s crucial to have an accurate asset inventory with electric poles, transformers, cable lines, substations and other electric utility assets properly mapped . GIS allows you to manage the asset data a lot easier and en",https://www.giscloud.com/blog/gis-for-electric-utilities/,Asset inventory / management,70,www.giscloud.com,electric utility; electric utilities; power grid; substation; smart meter,,,,Data Quality; Manual Processes; Outage Problems; Vegetation Management,GIS; Grid Asset Management; Distribution Assets; OT / Grid Operations; AMI; Data Management; DER; Field Data Collection,,,,,100,scraped
GIS for Electric Utilities [The Ultimate Guide],Utilities,,,,Data,data quality,GIS; Esri; ArcGIS; cloud,,,,,"IS. Utility poles and transformer layers in Map Editor You can also track the progress of your survey. The data collected in the field instantly populates the map in the MDCP or the Map Editor app, giving you real-time oversight over what’s going on in the field. It enables you to monitor the field data quality , review the collected data and quickly provide feedback to workers or subcontractors. It’s easy to track productivity, as well. If you want to know how many assets each of the field workers collected, create a filter in the data grid and export the data to CSV format. 4. Sharing Data With Clients, Subcontractors and Managers To share data with clients, you probably use Dropbox, flash drives, or DVDs, making it a messy process with data scattered all around. To fix this issue, it’s best to cent",https://www.giscloud.com/blog/gis-for-electric-utilities/,Data integration / modernization,70,www.giscloud.com,electric utility; electric utilities; power grid; substation; smart meter,,,,Data Quality; Manual Processes; Outage Problems; Vegetation Management,GIS; Grid Asset Management; Distribution Assets; OT / Grid Operations; AMI; Data Management; DER; Field Data Collection,,,,,100,scraped
GIS for Electric Utilities [The Ultimate Guide],Utilities,,,,Field Operations,field data collection,GIS; Esri; ArcGIS; cloud,,,,,"lution for field operations and workforce collaboration in electric utilities. Table of contents: • Using GIS in Electric Utilities • Asset Inventory and Infrastructure Insights • Optimizing Field Operations • Collaborating and Sharing Geospatial Data • The GIS Cloud Solution Workflow • 1. Creating Field Data Collection Projects • 2. Collecting Field Data • 3. Editing Data and Overseeing Fieldwork • 4. Sharing Data With Clients, Subcontractors and Managers • Case Study – ENUGU Electricity Distribution Company • Key Benefits of GIS for Electric Utilities Using GIS in Electric Utilities You could say that a geographic information system is essential for electric utility companies. It provides the foundational layer of technology for effective asset management as well as regulatory compliance. Companies use GIS f",https://www.giscloud.com/blog/gis-for-electric-utilities/,Field data / mobile GIS,70,www.giscloud.com,electric utility; electric utilities; power grid; substation; smart meter,,,,Data Quality; Manual Processes; Outage Problems; Vegetation Management,GIS; Grid Asset Management; Distribution Assets; OT / Grid Operations; AMI; Data Management; DER; Field Data Collection,,,,,100,scraped
Electric Utility GIS Mapping and Infrastructure Data,Utilities,,,Texas,GIS,geospatial data,GIS; Esri; Utility Network; Azure; cloud,,,,,"d-native gis has arrived Ask a question. Get a map. The new era of GIS, powered by Felt AI. Learn more PLATFORM Industries Resources PRICING BOOK A DEMO Log in Sign Up Advanced GIS utility mapping solutions Felt's powerful GIS mapping platform makes it easy to build maps, apps and dashboards, using geospatial data and infrastructure data, so utility teams can manage infrastructure faster and focus on impact rather than implementation. Meet with us 1:1 Start free trial Trusted by industry leaders What is GIS utility mapping? GIS utility mapping is the use of GIS and geospatial data to map, analyze, and manage utility infrastructure, enabling electric utility companies to monitor assets and make faster decisions across operations and field work. View live map → Identify high-risk areas for strategic manage",https://felt.com/industries/energy-and-utilities,GIS modernization / migration,50,felt.com,electric utility; substation; smart meter,,,,,GIS; Utility Network; Grid Asset Management; AMI; Grid IoT; DER; Remote Sensing,,$2.6M,,,95,scraped
Electric Utility GIS Mapping and Infrastructure Data,Utilities,,,Texas,Asset Management,asset management,GIS; Esri; Utility Network; Azure; cloud,,,,,"map → Streamline utility maintenance workflows View live map View live map → Pinpoint optimal locations for solar View live map Efficient GIS access for the whole organization With Felt, you can deliver intuitive, purpose-built GIS mapping tools that anyone on the team can use for renewable siting, asset management, and resource exploration. The modern GIS stack is here. Get started today. Book a demo Start free trial Access cloud sources at scale Make your source-of-truth accessible to those who rely on it daily. Amazon S3 BigQuery Databricks ESRI Google Cloud Microsoft Azure MS SQL Postgres Snowflake STAC WMFS WMTS Why modern teams love Felt “With Felt and Databricks, our site acquisition team was able to self-serve insights for the first time.” “The up front investment to build a custom solution that m",https://felt.com/industries/energy-and-utilities,Asset inventory / management,50,felt.com,electric utility; substation; smart meter,,,,,GIS; Utility Network; Grid Asset Management; AMI; Grid IoT; DER; Remote Sensing,,$2.6M,,,95,scraped
